Country/Region,Year of estimate,Adult prevalence of HIV/AIDS,Number of people with HIV/AIDS,Annual deaths from HIV/AIDS,Cluster
Ÿgreenland,2018,0.0013,70.0,0.0,0
Ÿnorway21,2024,0.0045000000000000005,19050.0,305.0,0
Ÿphilippines,2024,0.0019,215400.0,834.0,0
Ÿdenmark,2018,0.0011,6500.0,0.0,0
Ÿalbania,2016,0.001,1700.0,0.0,0
Ÿaustralia,2023,0.001,28880.0,0.0,0
Ÿfiji,2019,0.001,46823.0,0.0,0
Ÿtaiwan24,2016,0.001,31620.0,0.0,0
Ÿazerbaijan,2016,0.001,9200.0,0.0,0
Ÿmorocco,2016,0.00675,24000.0,0.0,0
Ÿiran,2016,0.001,66000.0,4000.0,0
Ÿsomalia,2023,0.00675,43625.0,0.0,0
Ÿpakistan,2016,0.001,130000.0,5500.0,0
Ÿpoland,2022,0.0008,30092.0,1471.0,0
Ÿbangladesh,2016,0.00675,12000.0,1000.0,0
Ÿegypt,2016,0.00675,11000.0,0.0,0
Ÿyemen,2016,0.00675,9900.0,0.0,0
Ÿislamic Emirate Of Afghanistan,2016,0.00675,7500.0,0.0,0
Ÿsri Lanka,2016,0.00675,4000.0,0.0,0
Ÿbulgaria,2016,0.00675,3500.0,0.0,0
Ÿtunisia,2016,0.00675,2900.0,0.0,0
Ÿserbia,2016,0.0004,2700.0,0.0,0
Ÿcroatia,2023,0.0014000000000000002,2700.0,0.0,0
Ÿchina,2018,0.0009,1250000.0,0.0,0
Ÿmalta,2019,0.0009,45327.0,0.0,0
Ÿlebanon,2016,0.0006,375028.0,0.0,0
Ÿczech Republic,2019,0.0005129,312230.0,0.0,0
Ÿmontenegro,2023,0.0012,401.0,0.0,0
Ÿalgeria,2016,0.0003,13000.0,0.0,0
Ÿsaudi Arabia,2016,0.0002,8200.0,0.0,0
Ÿbosnia And Herzegovina,2018,0.0001,350.0,0.0,0
Ÿkosovo,2013,0.0,83.0,0.0,0
Ÿturkmenistan,2021,0.00675,720.0,0.0,0
Ÿgrenada,2023,0.00675,5300.0,0.0,0
Ÿantigua And Barbuda,2022,0.00675,84.0,0.0,0
Ÿturks And Caicos Islands,2023,0.00675,1000.0,0.0,0
Ÿsamoa,2023,0.00675,1100.0,0.0,0
Ÿdominica,2023,0.00675,240.0,0.0,0
Ÿiraq,2021,0.0024,4700.0,0.0,0
Ÿunited Arab Emirates,2024,0.002,23000.0,10000.0,0
Ÿeast Timor,2022,0.00675,30.0,0.0,0
Ÿfinland,2021,0.004,6000.0,1500.0,0
Ÿsvalbard,2023,0.00675,2.0,0.0,0
Ÿkiribati,2023,0.00675,45.0,0.0,0
Ÿestonia,2025,0.002,1000.0,0.0,0
